author,work,date,topic,notes,access_link
Aristotle,Politics,c. 350 BCE,Monarchy as legitimate form; natural hierarchy,"Book III: five types of kingship; the superior king above law; monarchy as best when the ruler is supremely virtuous. Book I: natural hierarchy from household outward — the political basis of Filmer's argument","http://classics.mit.edu/Aristotle/politics.html"
Plato,Statesman (Politicus),c. 360 BCE,The philosopher-king and true monarchy,"The true statesman-king rules by knowledge not law; monarchy of the wise as the ideal","http://classics.mit.edu/Plato/stateman.html"
Plato,Republic,c. 380 BCE,The philosopher-king,"The just city requires a philosopher-king; rule by wisdom; hierarchy in soul and city","http://classics.mit.edu/Plato/republic.html"
Xenophon,Cyropaedia (Education of Cyrus),c. 370 BCE,The ideal monarch,"The education and character of Cyrus the Great as model king; voluntary obedience; subjects love the good king. Most influential ancient text on ideal kingship — read by Renaissance princes","http://www.gutenberg.org/ebooks/2085"
Xenophon,Hiero,c. 380-360 BCE,The tyrant vs the king,"Dialogue on the difference between tyrant and king; the king loved by subjects",
Cicero,De Re Publica,54-51 BCE,The rector / guardian king,"The ideal statesman-rector as guardian of the commonwealth; monarchy can be best","http://oll.libertyfund.org/titles/cicero-de-re-publica"
Cicero,De Legibus,52 BCE,Natural law and magistrates,"Natural law basis for political authority; magistrates and their oaths",
Homer,Iliad / Odyssey,c. 8th c. BCE,Heroic kingship,"The basileus as warrior-chief; divine sanction for leadership; Agamemnon as king of kings","http://classics.mit.edu/Homer/iliad.html"
Plutarch,Lives (esp. Alexander; Lycurgus; Numa),c. 100 AD,Ideal rulers through history,"Biographical portraits of great kings and lawgivers; monarchy in practice","http://classics.mit.edu/Plutarch/lives.html"
Seneca,De Clementia (On Mercy),55 AD,The good emperor,"Written for Nero; the emperor as the soul of the state; Stoic monarchy; the emperor's mercy as defining royal virtue","http://www.gutenberg.org/ebooks/64424"
