author,work,date,topic,notes,access_link
Eusebius of Caesarea,Oration in Praise of Constantine (Tricennial Oration),336 AD,Divine monarchy reflected in empire,"One God — one emperor; monarchy mirrors the divine order; most explicit patristic monarchism; Eusebius sees Constantine's sole rule as providential and natural",
Eusebius of Caesarea,Ecclesiastical History,313 AD,Providence and empire,"God works through imperial power; empire as vehicle of gospel spread",
Augustine of Hippo,City of God (De Civitate Dei),413-426 AD,Earthly kingdoms and peace,"Book XIX on peace and order; earthly city needs a ruler; peace through ordered subordination",
John Chrysostom,Homilies on Romans 13,~390 AD,Submission to rulers,"Extensive commentary on Rom 13; rulers as God's ministers; the oath of loyalty has moral weight before God",
Ambrose of Milan,On the Duties of the Clergy,391 AD,The ruler's virtue,"The good ruler as mirror of divine justice",
Pope Gelasius I,Letter to Emperor Anastasius (Gelasian Doctrine),494 AD,Two powers — priestly and royal,"Foundational text on the relationship of priestly and royal authority; both powers from God",
Isidore of Seville,Etymologiae / Sentences,636 AD,Definition of king and kingship,"Rex a recte regendo — king from ruling rightly; virtue-based monarchy",
Alcuin,Letters to Charlemagne,790s AD,Christian kingship,"The ideal Christian king; Charlemagne as David figure; duties of a king before God",
John of Salisbury,Policraticus,1159 AD,Comprehensive medieval monarchy defense,"Most systematic 12th c. treatment; the prince as image of God; oath/fealty structure; the body politic metaphor",
Thomas Aquinas,De Regno (On Kingship),c. 1267 AD,Monarchy as best government,"Natural law argument: monarchy mirrors divine unity; Aristotle + Christian synthesis; the king for the common good. Written for the King of Cyprus","https://isidore.co/aquinas/english/DeRegno.htm"
Thomas Aquinas,Summa Theologiae I-II q.105,1274 AD,Best form of government in OT,"Discusses the mixed government of Israel; monarchy tempered — relevant to Deut 17",
Dante Alighieri,De Monarchia,c. 1313 AD,Universal monarchy,"Theological and philosophical case for universal monarchy; one emperor under God; the sun/moon analogy","https://oll.libertyfund.org/titles/reinhardt-de-monarchia"
Engelbert of Admont,De Ortu et Fine Romani Imperii,1307-10 AD,Empire and monarchy,"Medieval defense of imperial monarchy; natural order argument",
Christine de Pizan,The Book of the Body Politic,1407 AD,Prince and duties,"The good prince; oath-keeping as central virtue",
